Score,Planet (Sign),Gender/Heat,Mode,Element,Moisture,Base Pattern,Sts,Rnd Repeat
At home (rulership):,Sun (Leo),Male/Hot,Fixed,Fire,Dry,,,
1,Sun (Libra),Male/Hot,Movable Cardinal,Air,Moist,Pebble St,even,4
At home (rulership):,Moon (Cancer),Female/Cold,Movable (Cardinal),Water,Moist,,,
3,Moon (Scorpio),Female/Cold,Fixed,Water,Moist,Eyelet Polka Dots,8,12
At home (rulership):,Mercury (Gemini),Male/Hot,Dual (Mutable),Air,Moist,,,
2,Mercury (Pisces),Female/Cold,Dual Mutable,Water,Moist,,,
At home (rulership):,Venus (Libra),Male/Hot,Movable (Cardinal),Air,Moist,,,
1.5,Venus (Virgo),Female/Cold,Dual Mutable,Earth,Dry,,,
At home (rulership):,Mars (Aries),Male/Hot,Movable (Cardinal),Fire,Dry,,,
1,Mars (Cancer),Female/Cold,Movable Cardinal,Water,Moist,,,
At home (rulership):,Jupiter (Sagittarius),Male/Hot,Dual (Mutable),Fire,Dry,,,
1,Jupiter (Capricorn),Female/Cold,Movable Cardinal,Earth,Dry,,,
At home (rulership):,Saturn (Capricorn),Female/Cold,Movable (Cardinal),Earth,Dry,,,
2,Saturn (Aries),Male/Hot,Movable Cardinal,Air,Dry,,,
At home (rulership):,Uranus (Aquarius),Male/Hot,Fixed,Air,Moist,,,
1,Uranus (Taurus),Female/Cold,Fixed,Earth,Dry,,,
At home (rulership):,Neptune (Pisces),Female/Cold,Dual (Mutable),Water,Moist,,,
1,Neptune (Aquarius),Male/Hot,Fixed,Air,Moist,,,
At home (rulership):,Neptune (Pisces),Female/Cold,Dual (Mutable),Water,Moist,,,
1,Neptune (Capricorn),Female/Cold,Movable Cardinal,Earth,Dry,,,
At home (rulership):,Pluto (Scorpio),Female/Cold,Fixed,Water,Moist,,,
1,Pluto (Libra),Male/Hot,Movable Cardinal,Air,Moist,,,
At home (rulership):,Pluto (Scorpio),Female/Cold,Fixed,Water,Moist,,,
1,Pluto (Virgo),Female/Cold,Dual Mutable,Earth,Dry,,,